cluster_a,cluster_b,links,keywords_a,keywords_b
83,146,4,"pré, recebimento, pre","recebimento notas, fiscal, suprimentos recebimento"
27,116,4,"caixas, aproveitamento, lote","processo, recurso, relatório"
60,89,4,"armazenagem, local, lotes","rótulo, operação, coletor"
101,106,4,"planejamento vendas, estoque, entrega","reserva, estoque futuro, lote"
76,91,4,"qtde, medição, metragem","localização, estoque, reserva"
16,36,4,"controle embarque, embarque web, fiscais controle","embarque, controle, rótulos"
108,142,4,"distribuição pedidos, vendas distribuição, entrega","fiscais, notas, fiscal saída"
51,135,4,"mail assunto, email, abaixo","fornecedor, wagner, nfs"
135,136,4,"fornecedor, wagner, nfs","entrada, chave, smart"
71,129,4,"fpv, preço venda, cálculo","remessa, industrialização, retorno"
59,129,4,"romaneio, saída, faturamento","remessa, industrialização, retorno"
97,118,4,"planejamento, ofs, planos","planejamento, minutos, turno"
113,114,4,"meta, planejamento, recurso","fabricação, ordem, ordens"
93,114,4,"semi, acabado, ofs","fabricação, ordem, ordens"
97,116,4,"planejamento, ofs, planos","processo, recurso, relatório"
23,34,4,"logs, job, tabelas","labelli, pegada, estava"
116,119,4,"processo, recurso, relatório","mestre produção, plano mestre, manufatura plano"
51,117,4,"mail assunto, email, abaixo","cartão, emissão, componente"
58,71,4,"engenharia, estruturação produto, desenvolvimento produto","fpv, preço venda, cálculo"
31,128,4,"dígitos, ean, contentor","schneider, marcio, eunice"
55,125,4,"conjunto, marca, produto acabado","representante, entrega, carrinho"
42,46,4,"relatório plano, plano mestre, mestre produção","relatório, resumo produção, apontamento rótulos"
67,89,4,"rotulo, ler, caixa","rótulo, operação, coletor"
89,125,4,"rótulo, operação, coletor","representante, entrega, carrinho"
84,95,4,"lotes, painel, fracionar","sql, movimento, estoque"
61,109,4,"painel, web, embalagem","cri, inventariado, inventário"
61,133,4,"painel, web, embalagem","requisição, centro custo, baixa"
61,108,4,"painel, web, embalagem","distribuição pedidos, vendas distribuição, entrega"
53,85,4,"lote mínimo, mínimo compra, qtde","localização, futuro, estoque"
105,108,4,"instrução, embarque, cancelamento saldo","distribuição pedidos, vendas distribuição, entrega"
56,125,4,"marca, embalagem, conjunto","representante, entrega, carrinho"
51,72,4,"mail assunto, email, abaixo","largura, equivocada, duramas"
78,139,4,"plano produção, projeção, necessidades","crédito, risco, analise"
94,108,4,"vendas, planejamento, distribuição","distribuição pedidos, vendas distribuição, entrega"
85,106,4,"localização, futuro, estoque","reserva, estoque futuro, lote"
90,129,4,"apontamento, web, coletores","remessa, industrialização, retorno"
90,104,4,"apontamento, web, coletores","apontamento, funcionário, desvio processo"
51,138,4,"mail assunto, email, abaixo","faturamento, liberação, encaixotamento"
78,101,4,"plano produção, projeção, necessidades","planejamento vendas, estoque, entrega"
77,82,4,"email, envio, mails","compras, necessidades, cotação"
79,82,4,"reposição, ponto, estoque segurança","compras, necessidades, cotação"
21,107,4,"utilizado, laboratorial, técnica","operações, propriedade, tempo padrão"
23,108,4,"logs, job, tabelas","distribuição pedidos, vendas distribuição, entrega"
29,112,4,"detalhamento teste, login, user","eficiência, eficiencia, recurso"
88,98,4,"flush, back, baixa","ora, mensagem, erro"
12,98,4,"manutenção, preventiva, maquina","ora, mensagem, erro"
12,94,4,"manutenção, preventiva, maquina","vendas, planejamento, distribuição"
135,142,4,"fornecedor, wagner, nfs","fiscais, notas, fiscal saída"
41,47,4,"situação, ocorrida, sobre","importação, fiscais, notas"
29,92,4,"detalhamento teste, login, user","formula, tinta, materiais"
