cluster_a,cluster_b,links,keywords_a,keywords_b
80,112,2,"assunto, mail, marcio","apontamento, fábrica lançamentos, talão"
51,67,2,"medidora, barras, está lendo","etiqueta, emissão, unidade produto"
120,122,2,"cartão, emissão, componente","abastecimento, ofs, materiais"
43,119,2,"materiais, material, componente","processo, recurso, relatório"
72,110,2,"ocorrida, sobre, situação","formula, tinta, acabamento"
106,108,2,"medida, unidade, primária","importação, edi, arquivo"
20,106,2,"carteira, análise, relatório","medida, unidade, primária"
23,106,2,"satra, arquivo, ticket","medida, unidade, primária"
29,99,2,"detalhamento teste, login, user","qtde, medição, metragem"
80,98,2,"assunto, mail, marcio","suprimentos compras, compra alteração, compras compra"
80,99,2,"assunto, mail, marcio","qtde, medição, metragem"
52,81,2,"custeio, custo, mês","descritivos técnicos, doc, relatório emissões"
83,106,2,"cep, lançamento, controle indicador","medida, unidade, primária"
83,91,2,"cep, lançamento, controle indicador","fornecedor, wagner, nfs"
106,135,2,"medida, unidade, primária","remessa, industrialização, retorno"
106,118,2,"medida, unidade, primária","multitarefa, cep, apontamento"
83,118,2,"cep, lançamento, controle indicador","multitarefa, cep, apontamento"
81,90,2,"descritivos técnicos, doc, relatório emissões","rendimento, custo, listar"
65,99,2,"ora, consolidar, bolsas operaciones","qtde, medição, metragem"
93,100,2,"encerramento, estoque, períodos","cri, inventariado, inventário"
40,136,2,"aplicar regra, venda documentação, estrutura comercial","abastecimento, suprimentos planejamento, materiais"
88,136,2,"pré, recebimento, pre","abastecimento, suprimentos planejamento, materiais"
25,41,2,"caixas, aproveitamento, lote","lote, balanceado, quantidade"
37,139,2,"grade, variação, tamanhos","mestre produção, plano mestre, manufatura plano"
78,140,2,"plano produção, entrega, planos","plano mestre, mestre produção, relatório plano"
78,93,2,"plano produção, entrega, planos","encerramento, estoque, períodos"
84,101,2,"sql, código, select","suprimentos estoque, estoque lançamentos, estoque produto"
31,101,2,"conta contábil, produtos fabricação, geração produtos","suprimentos estoque, estoque lançamentos, estoque produto"
