from,to,together,documents,from_baskets,to_baskets,confidence,lift,conviction,cross_module,kind,evidence,score
RECE7,ESTO25,15,15,70,336,0.214,4.9,1.22,1,program->program,74-0 211-32 259-11,2.105
ESTO1,FATU2,6,6,21,316,0.286,6.95,1.34,1,program->program,310-7 621-7 968-3,2.099
PEDI144,PEDI1,3,3,6,489,0.5,7.86,1.87,0,program->program,9-1 159-13 558-6,2.098
FATU165,PEDI1,3,3,6,489,0.5,7.86,1.87,1,program->program,276-7 887-0 889-6,2.098
VEND12,PEDI1,3,3,6,489,0.5,7.86,1.87,1,program->program,574-5 579-13 588-16,2.098
VEND79,PEDI1,3,3,6,489,0.5,7.86,1.87,1,program->program,579-13 588-16 626-17,2.098
PREC12,PREC9,3,3,12,53,0.25,36.27,1.32,0,program->program,141-6 771-6 779-1,2.088
CFAB30,MPSP2,3,3,8,219,0.375,13.17,1.55,1,program->program,918-0 921-1 961-0,2.086
ADMI125,FATU3,6,6,24,211,0.25,9.11,1.3,1,program->program,159-13 211-128 972-0,2.082
EPRO34,EPRO15,9,7,27,652,0.333,3.93,1.37,0,program->program,80-71 96-0 97-15,2.071
PEDI127,PEDI138,4,3,19,12,0.211,134.91,1.26,0,program->program,891-1 897-1 899-6,2.063
ESTO71,FATU16,7,7,34,139,0.206,11.39,1.24,1,program->program,519-1 521-0 919-1,2.061
COMP1,ADMI6,3,3,9,157,0.333,16.33,1.47,1,program->program,665-0 678-70 861-14,2.058
FATU79,ADMI6,3,3,9,157,0.333,16.33,1.47,1,program->program,968-0 970-0 972-0,2.058
FATU79,PEDI4,3,3,9,158,0.333,16.22,1.47,1,program->program,919-0 960-1 968-0,2.053
PEDI26,PEDI1,7,7,23,489,0.304,4.79,1.35,0,program->program,170-126 416-9 593-15,2.046
FATU79,EPRO15,4,4,9,652,0.444,5.24,1.65,1,program->program,968-0 970-0 972-0,2.044
ADMI1,FATU2,10,9,42,316,0.238,5.79,1.26,1,program->program,21-0 211-123 257-48,2.04
PEDI26,MPSP5,6,6,23,255,0.261,7.87,1.31,1,program->program,170-126 593-15 916-2,2.04
FVEN4,FVEN2,3,3,14,4,0.214,411.96,1.27,0,program->program,54-0 537-18 541-0,2.002
TERC2,COMP24,3,3,14,11,0.214,149.81,1.27,1,program->program,918-1 920-0 961-1,2.002
TERC2,ESTO13,3,3,14,30,0.214,54.93,1.27,1,program->program,918-0 920-0 961-0,2.002
VEND100,FATU12,3,3,14,31,0.214,53.16,1.27,1,program->program,919-0 934-0 935-0,2.002
FATU74,ESTO7,10,9,43,308,0.233,5.81,1.25,1,program->program,288-9 521-3 810-2,1.999
CFAB7,CFAB2,8,8,38,193,0.211,8.39,1.23,0,program->program,374-20 793-67 918-0,1.999
ADMI260,ADMI34,5,4,21,111,0.238,16.5,1.29,0,program->program,75-0 608-45 635-0,1.997
FATU74,PEDI1,11,11,43,489,0.256,4.02,1.26,1,program->program,519-1 521-3 810-0,1.995
ESTO40,CFAB2,6,4,22,193,0.273,10.87,1.34,1,program->program,142-0 189-21 210-3,1.989
VEND100,ESTO71,3,3,14,34,0.214,48.47,1.27,1,program->program,919-1 934-0 935-0,1.987
VEND100,CEXC109,3,3,14,34,0.214,48.47,1.27,1,program->program,923-0 965-0 970-2,1.987
TERC2,CFAB2,4,4,14,193,0.286,11.38,1.36,1,program->program,719-1 720-2 918-0,1.983
VEND100,CFAB2,4,4,14,193,0.286,11.38,1.36,1,program->program,919-0 934-0 935-0,1.983
CFAB56,PEDI4,5,3,17,158,0.294,14.31,1.39,1,program->program,416-9 620-4 810-0,1.968
PREC33,MPSP2,4,3,12,219,0.333,11.7,1.46,1,program->program,343-166 615-15 771-8,1.956
TERC3,ESTO25,7,7,27,336,0.259,5.93,1.29,1,program->program,259-11 529-0 625-2,1.955
PREC9,EPRO15,14,13,53,652,0.264,3.12,1.24,1,program->program,74-0 132-7 139-0,1.944
ADMI125,PEDI1,7,7,24,489,0.292,4.59,1.32,1,program->program,51-0 159-13 573-60,1.931
TERC2,CFAB7,3,3,14,38,0.214,43.36,1.27,1,program->program,918-0 920-0 961-0,1.931
ESTO20,RECE2,5,5,24,105,0.208,15.26,1.25,1,program->program,159-14 201-19 235-46,1.926
VEND100,FATU3,4,4,14,211,0.286,10.41,1.36,1,program->program,919-1 934-0 935-1,1.919
VEND100,FATU61,4,4,14,211,0.286,10.41,1.36,1,program->program,923-3 935-0 965-3,1.919
ESTO4,FATU2,13,11,61,316,0.213,5.19,1.22,1,program->program,89-77 100-0 157-14,1.915
CFAB10,MPSP5,7,7,30,255,0.233,7.04,1.26,1,program->program,132-15 170-63 918-2,1.914
ESTO13,MPSP5,7,7,30,255,0.233,7.04,1.26,1,program->program,916-2 918-0 920-0,1.914
CFAB59,ESTO25,23,13,112,336,0.205,4.7,1.2,1,program->program,103-1 120-8 121-25,1.912
VEND98,PEDI44,4,4,17,111,0.235,16.3,1.29,1,program->program,211-164 258-31 573-140,1.91
ESTO71,ESTO7,8,8,34,308,0.235,5.87,1.26,0,program->program,171-0 261-5 287-2,1.906
PREC36,CFAB59,4,3,15,112,0.267,18.31,1.34,1,program->program,132-7 134-1 149-2,1.898
EPRO105,PEDI1,5,5,15,489,0.333,5.24,1.4,1,program->program,80-202 170-175 519-1,1.897
FATU4,FATU44,3,3,15,17,0.2,90.47,1.25,0,program->program,9-0 159-13 261-0,1.891
FATU4,FATU94,3,3,15,19,0.2,80.95,1.25,0,program->program,9-0 159-13 261-0,1.891
EPRO58,EPRO15,13,13,50,652,0.26,3.07,1.24,0,program->program,80-67 104-6 121-52,1.891
PREC36,CUST1,3,3,15,17,0.2,90.47,1.25,1,program->program,132-9 177-63 535-0,1.891
MIND16,MIND11,3,3,15,6,0.2,256.33,1.25,0,program->program,833-1 850-0 851-0,1.891
CFAB65,ESTO7,6,6,23,308,0.261,6.51,1.3,1,program->program,170-126 454-35 525-4,1.884
COMP7,COMP3,4,4,16,147,0.25,13.08,1.31,0,program->program,695-7 916-2 921-0,1.865
CPRO22,FATU3,3,3,9,211,0.333,12.15,1.46,1,program->program,485-3 515-3 517-3,1.858
FATU79,FATU61,3,3,9,211,0.333,12.15,1.46,0,program->program,967-1 968-0 970-1,1.858
VEND14,CFAB2,6,6,27,193,0.222,8.85,1.25,1,program->program,519-1 521-0 653-10,1.853
ESTO15,ESTO7,10,8,44,308,0.227,5.67,1.24,0,program->program,147-6 185-23 194-19,1.846
VEND31,PEDI1,6,6,20,489,0.3,4.72,1.34,1,program->program,258-40 634-16 946-3,1.843
VEND114,ESTO7,3,3,8,308,0.375,9.36,1.54,1,program->program,372-22 527-0 994-4,1.84
CEXC1024,ESTO7,3,3,8,308,0.375,9.36,1.54,1,program->program,875-1 879-3 882-0,1.84
EPRO10,EPRO15,6,5,17,652,0.353,4.16,1.41,0,program->program,80-139 395-6 534-62,1.836
ESTO20,ESTO7,7,4,24,308,0.292,7.28,1.36,0,program->program,159-14 194-25 235-46,1.836
TERC2,COMP5,3,3,14,46,0.214,35.82,1.27,1,program->program,211-32 918-0 961-0,1.836
VEND100,COMP5,3,3,14,46,0.214,35.82,1.27,1,program->program,919-1 934-3 935-1,1.836
ADMI35,FATU2,12,11,58,316,0.207,5.03,1.21,1,program->program,0-0 211-81 258-33,1.828
ADMI96,FATU2,3,3,8,316,0.375,9.13,1.53,1,program->program,88-0 799-4 802-0,1.822
COMP5,ESTO25,10,10,46,336,0.217,4.98,1.22,1,program->program,211-32 310-7 519-1,1.822
ADMI42,EPRO15,4,4,10,652,0.4,4.72,1.53,1,program->program,75-0 567-0 639-3,1.798
ESTO23,FATU2,7,6,28,316,0.25,6.08,1.28,1,program->program,159-12 181-1 240-7,1.79
VEND100,FATU124,3,3,14,52,0.214,31.69,1.26,1,program->program,919-1 934-3 935-1,1.776
CREC4,PEDI1,3,3,7,489,0.429,6.74,1.64,1,program->program,77-6 967-0 977-4,1.771
ADMI24,PEDI1,3,3,7,489,0.429,6.74,1.64,1,program->program,757-39 889-26 895-0,1.771
EPRO105,FATU74,3,3,15,43,0.2,35.77,1.24,1,program->program,519-2 930-6 970-2,1.733
FATU79,MPSP5,3,3,9,255,0.333,10.05,1.45,1,program->program,919-0 960-0 981-1,1.733
ESTO3,FATU3,6,5,26,211,0.231,8.41,1.26,1,program->program,181-1 194-18 240-7,1.73
VEND100,ADMI35,3,3,14,58,0.214,28.41,1.26,1,program->program,258-41 646-3 971-0,1.722
ESTO19,FATU3,6,6,28,211,0.214,7.81,1.24,1,program->program,159-12 194-18 212-100,1.706
CFAB23,CFAB2,3,3,10,193,0.3,11.95,1.39,0,program->program,90-1 454-34 615-0,1.705
ESTO16,RECE2,4,4,19,105,0.211,15.42,1.25,1,program->program,147-6 235-47 342-15,1.704
PREC36,PREC7,3,3,15,48,0.2,32.04,1.24,0,program->program,132-7 149-1 535-0,1.682
