program;description;menu name;type;auto description (for reference)
ESTO123;;Solicitação de Necessidades de Materiais - Múltiplas OFs;Programa;ESTO123 – Solicitação de Necessidades de Materiais - Múltiplas OFs. Tipo: Programa. Termos frequentes: procedimento de inclusão, cabeçalho das solicitações, exclusão ou alteração, existente no wms, documento já enviado, alterado com sucesso. Documentos: Solicitação de Necessidades de Materiais - Múltiplas OFs - ESTO123.
VEND100;;Liberação Comercial Detalhada (VEND100) - Pegada;Programa;VEND100 – Liberação Comercial Detalhada (VEND100) - Pegada. Tipo: Programa. Documentos: Liberação Comercial Detalhada – VEND100.
PEDI133;;Manutenção de Pedidos;Programa;PEDI133 – Manutenção de Pedidos. Tipo: Programa. Termos frequentes: alterar descontos, rotina nova manutenção, encaminhado o ped. Documentos: Manutenção de Pedidos – PEDI133.
VEND39;;Liberação Comercial;Programa;"VEND39 – Liberação Comercial. Tipo: Programa. Variações no menu: Liberação Comercial e Desbloqueio Faturamento (VEND39); Desbloqueio Faturamento; Liberação Comercial - VEND39. Termos frequentes: verificar o preço, usuários teriam acesso, simulações informando prazo, regras do fpv, pedidos em liberação, ordem pelo número. Documentos: Liberação Comercial - VEND39."
MIND30;;Relatório Custo Total por Equipamento;Programa;MIND30 – Relatório Custo Total por Equipamento. Tipo: Programa. Documentos: Relatório Custo Total por Equipamento – MIND30.
EPRO18;;Tipo Produto;Programa;EPRO18 – Tipo Produto. Tipo: Programa. Documentos: Tipo Produto – EPRO18.
CFAB22;;Apontamento de Rótulos (Processo;Programa;"CFAB22 – Apontamento de Rótulos (Processo. Tipo: Programa. Variações no menu: Apontamento de Rótulos (Processo 191); Apontamento Rótulos Transf. Produção Estoque; Apontamento de Rótulos - PGD MTZ - 115 Loc. 5108 CFAB22; Apontamento de Rótulos (Processo 160066). Termos frequentes: lançamentos apontamento rótulos. Documentos: Apontamento de Rótulos – CFAB22."
ESTO119;;Rastreabilidade Pedido\OF\Lote;Programa;"ESTO119 – Rastreabilidade Pedido\OF\Lote. Tipo: Programa. Termos frequentes: frigoríficos em relação, consumido produzido, acaso sabe. Documentos: Consulta de Rastreabilidade – Lotes – ESTO119; Análise Matéria Prima - ESTO119."
CFAB93;;Manutenção de Apontamentos;Programa;"CFAB93 – Manutenção de Apontamentos. Tipo: Programa. Variações no menu: Manutenção de Apontamentos - Manutenção; Manutenção de Apontamentos MultiTarefa - Curtume. Termos frequentes: manutenção apontamentos on-line, chao de fabrica. Documentos: Manutenção de Apontamentos MultiTarefa – CFAB93."
PREC12;;Eficiência;Programa;PREC12 – Eficiência. Tipo: Programa.
COMP26;;Plano de Necessidades de Formas (Processo;Programa;"COMP26 – Plano de Necessidades de Formas (Processo. Tipo: Programa. Variações no menu: Plano de Necessidades de Formas (Processo 361); Plano de Necessidades de Formas (Processo 330); Plano de Necessidades de Formas (Processo 79). Documentos: Relatório Plano de Necessidades de Formas – COMP26."
PREC33;;Configurador de Meta/Eficiência Prevista por Recurso;Programa;PREC33 – Configurador de Meta/Eficiência Prevista por Recurso. Tipo: Programa. Termos frequentes: capacidade de recursos, data de vigência, recurso alteração. Documentos: Configurador de Meta_Eficiência Prevista por Recurso – PREC33.
PEDI62;;Relatório Pedidos para Encaixotamento p/ O.F. - Gass;Programa;"PEDI62 – Relatório Pedidos para Encaixotamento p/ O.F. - Gass. Tipo: Programa. Termos frequentes: totalização da qtde. Documentos: Relatório Pedidos para Encaixotamento - PEDI26 - PEDI62; Relatório Pedidos para Encaixotamento por O.F – PEDI62."
ADMI151;;Generación del Archivo .IN Satra;Programa;ADMI151 – Generación del Archivo .IN Satra. Tipo: Programa. Variações no menu: Geração do Arquivo Satra .in. Documentos: Generación del Archivo .IN Satra – ADMI151.
PEDI138;;4=Importação de Romaneio Arezzo;Programa;PEDI138 – 4=Importação de Romaneio Arezzo. Tipo: Programa. Termos frequentes: distribuição pedidos arezzo. Documentos: Importação de Romaneio Arezzo – PEDI138.
CPRO27;;Configuração de Eventos - Laudos;Programa;CPRO27 – Configuração de Eventos - Laudos. Tipo: Programa. Termos frequentes: condenas. Documentos: Rotina CPRO3,CPRO22,CPRO23,CPRO27,CPRO24,CPRO4,RECE50, Condenas, Laudos, Gera Contra Nota.
FVEN10;;Tarifas;Programa;FVEN10 – Tarifas. Tipo: Programa.
VEND50;;Liberação Lista Preço;Programa;VEND50 – Liberação Lista Preço. Tipo: Programa. Termos frequentes: distribuição vendas, preços alteração. Documentos: Liberação Lista de Preços – VEND50.
PREC32;;Máquinas x Operações x Demãos;Programa;"PREC32 – Máquinas x Operações x Demãos. Tipo: Programa. Documentos: Maquinas X Operações X Demaos - PREC32; Máquinas x Operações x Demãos - PREC32."
EPRO69;;Lista Materiais;Programa;EPRO69 – Lista Materiais. Tipo: Programa. Variações no menu: Lista Materiais Mostrando Inativos.
MPSP33;;Atualizar MRP;Programa;MPSP33 – Atualizar MRP. Tipo: Programa. Variações no menu: Atualizar MRP = GERAR_SEMI_ACABADOS BLOCO K = S. Termos frequentes: produção atualizar mrp. Documentos: Atualizar MRP - MPSP33.
CFAB96;;Extrato Máquina;Programa;"CFAB96 – Extrato Máquina. Tipo: Programa. Termos frequentes: relatórios gerenciais extrato. Documentos: Relatório de Extrato por Maquina – CFAB96; Relatório Extrato Máquina – CFAB96."
CFAB83;;Relatório de Rendimento;Relatório;CFAB83 – Relatório de Rendimento. Tipo: Relatório.
ESTO8;;Relatório Lançamentos;Programa;ESTO8 – Relatório Lançamentos. Tipo: Programa. Variações no menu: Relatório Lançamentos ESTO8 | ESTO130. Termos frequentes: estoque relatórios relatórios. Documentos: Relatório Lançamentos – ESTO8.
ESTO131;;Apontamento de Requisição - Lote - Estab;Programa;"ESTO131 – Apontamento de Requisição - Lote - Estab. Tipo: Programa. Variações no menu: Apontamento de Requisição - Lote - Estab 3, Loc 11; Apontamento de Requisição - Lote - Estab 33, Loc 75; Apontamento de Requisição. Termos frequentes: descarga de requisicion. Documentos: Apontamento de Requisição – ESTO131."
ESTO90;;Relatório de Saldos por Rotulo;Programa;ESTO90 – Relatório de Saldos por Rotulo. Tipo: Programa. Termos frequentes: saldos por rótulo, suprimentos estoque relatórios, cristofoli. Documentos: Relatório de Saldos por Rotulo – ESTO90.
FATU55;;Emissão Etiqueta com Documento Fiscal;Programa;"FATU55 – Emissão Etiqueta com Documento Fiscal. Tipo: Programa. Variações no menu: Emissão Etiqueta com Documento Fiscal Terra e Água; Emissão Etiqueta com Documento Fiscal (AREZZO); Emissão Etiqueta com Documento Fiscal (VIVO); Emissão Etiqueta com Documento (ITALIANINHO). Termos frequentes: etiqueta de nota, distribuição faturamento rótulos. Documentos: Emissão Etiqueta com Documento Fiscal – FATU55."
CPRO2;;Classificação do Produto;Programa;CPRO2 – Classificação do Produto. Tipo: Programa. Documentos: Classificação do Produto – CPRO2.
CPRO23;;Laudos Padrões;Programa;"CPRO23 – Laudos Padrões. Tipo: Programa. Termos frequentes: modificar o rodapé, laudo da trevisan, empresa frigolaste documentação, condenas. Documentos: Rotina CPRO3,CPRO22,CPRO23,CPRO27,CPRO24,CPRO4,RECE50, Condenas, Laudos, Gera Contra Nota; Laudos Padrões – CPRO23."
