"PROGRAMA","DESCRICAO","TIPO"
"CONT3","Registros Contábeis","Programa"
"LFIS4","Registro de Entradas","Programa"
"ADMI31","Termos Internacionais de Comércio","Programa"
"ESTO3","Devoluções","Programa"
"MPSP1","Calendário","Programa"
"EPRO18","Tipo Produto","Programa"
"ADMI29","Unidade de Negócio","Programa"
"ADMI32","Condição Especial de Pagamento","Programa"
"VEND1","Classe de Risco","Programa"
"ESTO5","Transferência Produção para Estoque","Programa"
"CONT11","Regras de Contabilização","Programa"
"CONT4","Históricos Padronizados","Programa"
"ESTO1","Operações","Programa"
"ESTO2","Implantação de Saldo","Programa"
"PREC8","Configuração Recurso Base Planejamento","Programa"
"EPRO1","Propriedade Categoria","Programa"
"IQUA2","Plano de Inspeção","Programa"
"LFIS5","Registro de Saídas","Programa"
"EPRO10","Grades","Programa"
"ADMI36","Centros de Custo/Trabalho","Programa"
"CREC4","Lançamentos - Contas a receber","Programa"
"MIND1","Tipos de Equipamento","Programa"
"ADMI9","Nacionalidades","Programa"
"ADMI12","País","Programa"
"ADMI11","Unidade Federativa","Programa"
"ADMI13","Cidades","Programa"
"ESTO30","Relatório Análise Consumo Previsto x Realizado","Programa"
"ESTO31","Relatório Análise Consumo Previsto x Realizado","Relatório"
"PATR17","Baixas","Relatório"
"CFAB28","Controle de Talões","Programa"
"CFAB29","Relatório Controle de Talões","Relatório"
"FVEN2","4-Despesas Diretas de Venda","Programa"
"FATU16","Gera/Emissão Rótulo Unidade Armazenamento - Lote Produção Estoque","Programa"
"LFIS35","Geração Arquivo D.M.A. (BA)","Programa"
"EPRO30","Emissão Etiquetas Local Armazenagem","Programa"
"CEXT18","1 - Gerar Remessa para Embarque","Programa"
"CFAB32","Emissão Cartão Conjunto Componente","Programa"
"CFAB33","Emissão Cartão Conjunto Componente","Relatório"
"FATU25","Gera Notas Fiscais - EDI","Programa"
"VEND39","Liberação Comercial e Desbloqueio Faturamento (VEND39)","Programa"
"FATU102","Notas Fiscais de Entrada Complementar - 64695","Programa"
"CPAG3","Ocorrências","Programa"
"PEDI12","Cópia de Pedidos de Venda","Programa"
"VEND40","Pontos de Venda","Programa"
"VEND41","Relatório PDV","Relatório"
"VEND40","Pontos de Venda por Vendedor","Programa"
"VEND41","Relatório PDV por Vendedor","Relatório"
"PEDI13","Transferência de Reserva","Programa"
"VEND44","Prazo Médio de Pedidos","Programa"
"CEXT25","Configuração Inf. Complementares/Textos","Programa"
"VEND45","Relatório Prazo Médio de Pedidos","Relatório"
"COMP23","Gera Pedido de Compra - EDI","Programa"
"CEXT11","06 - Desembaraço (Manual)","Programa"
"ADMI85","Importação de Saldos do Estoque","Programa"
"CFAB34","Posição Produção por Pedido","Programa"
"CFAB35","Posição Produção por Pedido","Relatório"
"PEDI14","Importação Pedidos de Venda - EDI Vale","Programa"
"ADMI86","Operações","Programa"
"ADMI83","Modelos de Coletores","Programa"
"ADMI84","Coletores","Programa"
"FATU14","Relatório Notas Fiscais","Relatório"
"FATU15_SILOER","Relatório Notas Fiscais Matricial","Relatório"
"CEXT26","Posição Processo de Importação","Programa"
"CEXT27","Posição Processo de Importação","Relatório"
"CEXT29","Enquadramento","Programa"
"CEXT30","Finalidade","Programa"
"CEXT31","Modalidade de Transação","Programa"
"CEXT32","Instrumento Negociação","Programa"
"ADMI87","Configuração Obrigatoriedade de Informação de Campos da Seleção","Programa"
"CEXT33","Configuração Registro de Exportação","Programa"
"CFAB1","Apontamento de Ordem de Fabricação - Leitor","Programa"
"VEND50","Liberação Lista Preço","Programa"
"ADMI91","004 - Tabela de Frete","Programa"
"ESTO38","Consulta Unidade Armazenamento","Programa"
"VEND51","Regra de Preço (Produto/Pedido)","Programa"
"TERC10","Gera Notas Fiscais Remessa Industrialização","Programa"
"CEXT35","Exclusão de Embarques do Processo de Importação","Programa"
"VEND5","Relatório Lista de Preço","Programa"
"VEND6","Relatório Lista de Preço","Relatório"
"CBAN32","Fluxo de Caixa","Programa"
"CBAN33","01 - Relatório Fluxo de Caixa (Conta Orçamentária)","Relatório"
"CUST12","Apropriação do Custeio Reduzido","Relatório"
"ESTO39","Relatório Solicitação de Necessidades","Relatório"
"FATU26","Emissão Minuta","Programa"
"FATU164","Emissão Minuta","Relatório"
"CEXT40","Posição Pedido de Compra (PO) - BRISA","Programa"
"CEXT42","Relação de Desembaraço","Programa"
"CEXT41_BRI","Posição Pedido de Compra (PO)","Relatório"
"CEXT43","Relatório Relação de Desembaraço","Relatório"
"CPAG35","Log Importação Contas a Pagar","Relatório"
"CPAG35","Log Importação Contas a Receber","Relatório"
"MPSP19","Lote Produção Estoque C\ SKU","Programa"
"CFAB18_PEGADA","Emissão Cartão Componente (Matricial)","Relatório"
"PATR14","Aquisições","Relatório"
"ADMI80","Resumo Cadastro de Clientes","Programa"
"ADMI80","Resumo Cadastro de Pessoas F/J","Programa"
"ADMI80","Resumo Cadastro de Fornecedores","Programa"
"ADMI80","Resumo Cadastro de Bancos","Programa"
"ADMI80","Resumo Cadastro de Transportadoras","Programa"
"ADMI80","Resumo Cadastro de Vendedores","Programa"
"ADMI80","Resumo Cadastro de Supervisores","Programa"
"ADMI80","Resumo Cadastro de Agentes","Programa"
"PATR10","Saldo por Conta Contábil","Relatório"
"PATR12","Demonstrativo de Lançamentos","Relatório"
"PEDI10","Relatório Materiais X Pedidos","Programa"
"CEXT10","05 - Processo de Importação","Programa"
"ADMI82","Liberação Código EAN","Programa"
"CUST6","Apropriação do Custeio","Programa"
"CEXT44","Consulta Processo de Importação","Programa"
"VEND43","Relatório Preço e Prazo Médio de Pedidos","Relatório"
"ESTO37","Solicitação de Necessidades de Materiais","Programa"
"CPRO1","Indicadores","Programa"
"CPRO2","Classificação do Produto","Programa"
"CPRO3","Eventos","Programa"
"VEND42","Preço e Prazo Médio de Pedidos","Programa"
"ADMI96","Importação Conhecimentos Embarcados - CONEMB","Programa"
"ADMI76","Cliente Representante","Programa"
