cluster_a,cluster_b,links,keywords_a,keywords_b
48,153,4,"ora, erro, mensagem","plano mestre, mestre produção, relatório plano"
22,84,4,"detalhamento teste, login, user","compras, comprador, alçada"
22,102,4,"detalhamento teste, login, user","centro custo, requisição, contábil"
22,24,4,"detalhamento teste, login, user","user, acesso base, login"
25,122,4,"job, logs, ção","emissão ordem, chão, ordem fabricação"
38,100,3,"lote, fracionamento, fracionar","instrução, embarque, caixas"
51,52,3,"email, envio, mails","rotulo, rótulo, operação"
131,147,3,"android, app, ivendre","ivendre, fotos, ios"
11,158,3,"tag, obrig rejeição, chave acesso","monitor, fiscais, notas"
20,100,3,"controle embarque, embarque web, rótulos","instrução, embarque, caixas"
42,97,3,"produtos fabricação, geração produtos, conta contábil","engenharia, desenvolvimento produto, estruturação produto"
80,96,3,"características, categoria, preenchidas","coleção, estruturação produto, sub"
39,97,3,"controle lote, lotes, requisições","engenharia, desenvolvimento produto, estruturação produto"
72,97,3,"mrp, material, data cadastro","engenharia, desenvolvimento produto, estruturação produto"
96,109,3,"coleção, estruturação produto, sub","planejamento vendas, cota, vendas planejamento"
42,133,3,"produtos fabricação, geração produtos, conta contábil","semi, ofs, acabado"
48,99,3,"ora, erro, mensagem","back flush, flush materiais, apontamento"
99,115,3,"back flush, flush materiais, apontamento","apontamento, multitarefa, desvio"
107,122,3,"apontamento rótulos, fábrica lançamentos, lançamentos apontamento","emissão ordem, chão, ordem fabricação"
52,122,3,"rotulo, rótulo, operação","emissão ordem, chão, ordem fabricação"
52,53,3,"rotulo, rótulo, operação","etiqueta, impressa, embalagem"
70,141,3,"processo sequencia, curpisco, demãos","tinta, formula, acabamento"
114,141,3,"unidade medida, primária, qtde","tinta, formula, acabamento"
35,108,3,"raja, paquete, cantidad","abastecimento, requisição, materiais"
