cluster,size,keywords,top_module,module_purity,modules,record_types,documents,largest_doc_share,cohesion,example
68,17,"relatório faturamento, assunto relatório, estornos, dia, ademir, ocorreram",FATU,1.0,FATU:8,email:14 documentacao:3,5,0.41,0.811,"Relatório Faturamento (FATU34) — Relatório de faturamento Bom dia pessoal,"
69,21,"largura, produção agrupado, plano produção, ofs, agrupamento, entregas",MPSP,0.41,MPSP:7 CFAB:5 PEDI:3 COMP:2,pedido:13 documentacao:7 email:1,9,0.33,0.816,Pedido de Venda (PEDI1) — Vendas e Distribuição Pedidos Pedido
70,17,"processo sequencia, curpisco, demãos, semana teste, preciso semana, desenvolvimento seguinte",EPRO,0.5,EPRO:1 CPRO:1,documentacao:10 email:6 pedido:1,10,0.24,0.768,"Estruturação de Produto (EPRO15) — Preciso para esta semana que vc teste na BD Desenvolvimento a seguinte rotina Olá,"
71,18,"empresa, mrp, tabela, henrich, acho porque, única",ADMI,0.53,ADMI:8 COMP:5 PEDI:2,documentacao:10 email:7 teste:1,7,0.39,0.806,"Plano de Necessidades de Compras (COMP13) — configuração de tabela, separados por empresa, mrp as necessidades"
72,19,"mrp, material, data cadastro, materiais, atualização, atualizar",MPSP,0.77,MPSP:10 EPRO:2 PEDI:1,pedido:17 email:1 documentacao:1,9,0.26,0.829,"Atualizar MRP (MPSP33) — QUANDO ALTERADA A DATA DE VALIDADE FINAL DE UM MATERIAL E SE CRIA UM NOVO, AO ATUALIZAR O…"
73,18,"mínimo, parcela, categoria, validação, data entrega, validar",PEDI,1.0,PEDI:10,pedido:13 documentacao:4 email:1,9,0.28,0.834,"Pedido de Venda (PEDI1) — PEDIDO DE VENDA (PEDI1+IVENDRE B2B+IVENDRE IOS) - CRIAR POSSIBILIDADE DE VALIDAR, NO…"
74,23,"cfop, icms, sped, escrituração, fiscal, operação",RECE,1.0,RECE:4,documentacao:12 email:8 pedido:3,7,0.3,0.799,NÃO É POSSIVEL EMITIR UMA NF DE CRÉDITO DE ICMS COM CFOP 2.949 PARA DENTRO DO ESTADO
75,21,"classificação, produto destino, ficha técnica, neste bloco, relatório ficha, produtos destino",EPRO,0.89,EPRO:16 CFAB:2,documentacao:15 pedido:6,18,0.19,0.796,"Classificação (EPRO67) — DIVERSOS: CRIAR O CADASTRO ""CLASSIFICAÇÃO"" PARA SER VINCULADO NA ESTRUTURA DO PRODUTO.…"
76,45,"encerramento, finalização, proceso, apuntamiento, ofs, depuración",CFAB,0.74,CFAB:17 CPRO:3 MPSP:2 ESTO:1,email:18 pedido:15 documentacao:12,15,0.2,0.8,CFAB51 — FINALIZAÇÃO DE PRODUÇÃO (OF) - PROGRAMA DEVE APRESENTAR PROSSIBILIDADE DE DESFAZER A…
77,46,"cancelamento saldo, saldo embarque, reserva, localização, estoque, jhanrie",PEDI,0.56,PEDI:22 ESTO:7 VEND:5 MPSP:2,pedido:20 documentacao:19 email:6 teste:1,24,0.17,0.802,Cancelamento Saldo de Reserva (PEDI22) — PEDI22 - VERIFICAR MOTIVO DE ESTAR PROIBINDO CANCELAR O SALDO DE RESERVA DO PEDIDO Rotina
78,86,"and, select, nvl, descricao, tabela, pve",ADMI,0.44,ADMI:16 ESTO:6 MPSP:5 EPRO:3,documentacao:56 email:23 pedido:7,55,0.08,0.747,"Remessa Industrialização (ESTO25) — data e hora, acessando, movimentação"
79,66,"marca, conjunto, cor, cabedal, carimbo, mat",EPRO,0.92,EPRO:46 PEDI:4,email:29 documentacao:24 pedido:13,9,0.68,0.762,"Estruturação de Produto (EPRO15) — gera o produto, novo conjunto, data de validade"
80,24,"características, categoria, preenchidas, característica produto, configuração, produto tenha",EPRO,1.0,EPRO:10,pedido:13 email:9 documentacao:2,4,0.5,0.831,"Estruturação de Produto (EPRO15) — superiores e inferiores, nível intermediário, tenha uma categoria"
81,50,"ikronos, api, industrial manufatura, manufatura processos, pegada, método",ESTO,0.19,ESTO:5 FATU:4 PEDI:4 COMP:3,pedido:49 documentacao:1,40,0.12,0.772,Pedido de Compras (COMP3) — PEDIDOS DE
82,24,"relatório analise, relatório gerenciais, fábrica relatório, gerenciais relatório, compras matéria, analise compras",CFAB,0.96,CFAB:23 RECE:1,pedido:13 documentacao:11,13,0.29,0.805,Frigorífico (RECE50) — Relatório Análise de Abate não traz condena com Aproveitamento Condicional
83,25,"brisa, revisão, skus, excedentes, smart, relatório romaneio",CEXC,0.59,CEXC:10 ESTO:4 PEDI:2 CFAB:1,documentacao:20 pedido:5,17,0.24,0.795,"Relatório de Pedidos Aptos a Faturar (CEXC11) — aptos a faturar, relatório de pedidos, rotulo etiqueta"
